name;money;skill;cheat;awarness
Invest163;1646;87;33;95
Invest821;1089;45;82;28
Invest188;1436;87;31;63
Invest480;1762;97;41;35
Invest293;728;35;51;9
Invest39;1292;61;72;16
Invest107;2889;86;92;10
Invest994;2240;81;80;38
Invest277;264;24;92;27
Invest874;1057;50;60;90
Invest788;75;12;5;6
Invest329;822;46;85;1
Invest889;83;19;94;10
Invest884;589;35;70;79
Invest492;1222;50;71;81
Invest245;602;42;7;40
Invest490;626;45;45;9
Invest185;587;37;22;69
Invest612;1634;98;24;10
Invest160;470;29;23;51
Invest944;75;5;11;77
Invest314;1176;52;60;57
Invest706;51;5;6;13
Invest646;2070;90;65;64
Invest978;1391;78;7;92
Invest564;922;61;9;78
Invest220;1234;56;84;50
Invest391;1317;56;89;76
Invest783;2217;100;54;20
Invest511;2712;95;82;85
Invest261;99;25;42;33
Invest653;3139;100;87;43
Invest807;1296;79;15;79
Invest339;96;8;18;72
Invest687;99;8;5;96
Invest108;79;3;65;34
Invest254;1576;71;54;25
Invest852;1524;94;26;63
Invest415;397;25;65;60
Invest346;2258;92;54;24
Invest937;3623;99;75;24
Invest68;1243;59;52;34
Invest350;2539;88;67;36
Invest387;49;4;15;20
Invest115;612;42;47;72
Invest290;1238;78;49;80
Invest238;92;16;68;53
Invest447;301;25;60;6
Invest908;654;47;15;98
Invest2;1049;64;13;32
Invest213;744;38;99;52
Invest751;1711;65;99;18
Invest960;608;52;39;53
Invest209;1502;91;29;44
Invest848;477;35;28;50
Invest836;918;47;68;26
Invest485;1527;100;28;71
Invest153;2653;87;72;39
Invest811;3220;87;82;42
Invest97;1103;68;5;29
Invest137;862;38;88;48
Invest451;881;61;21;26
Invest72;1445;91;24;20
Invest985;1663;95;19;21
Invest34;1246;80;23;50
Invest286;977;48;71;73
Invest548;649;33;79;3
Invest713;1744;97;22;29
Invest149;791;52;21;23
Invest463;95;2;28;30
Invest586;2157;85;60;75
Invest912;546;29;86;75
Invest747;463;39;16;2
Invest49;585;45;23;1
Invest675;96;1;55;86
Invest589;2689;100;88;19
Invest197;58;16;93;15
Invest283;3449;94;90;64
Invest257;54;3;63;21
Invest403;31;4;98;47
Invest649;821;51;11;12
Invest317;65;20;97;2
Invest896;1191;79;12;51
Invest523;517;36;92;94
Invest915;1090;68;16;66
Invest650;403;35;4;48
Invest769;2338;92;71;4
Invest982;2871;96;70;59
Invest855;590;35;54;59
Invest829;1084;38;95;47
Invest343;1064;53;67;97
Invest488;2307;92;59;57
Invest242;87;6;62;87
Invest358;990;58;5;26
Invest216;49;4;32;66
Invest776;1803;76;70;94
Invest941;343;26;15;24
Invest956;1216;73;14;24
Invest814;311;23;1;25
Invest795;68;3;9;74
Invest710;45;17;55;86
Invest112;79;20;16;37
Invest530;425;24;66;100
Invest75;81;19;3;61
Invest384;98;1;67;100
Invest178;793;53;19;99
Invest31;514;37;12;97
Invest5;67;2;76;54
Invest877;32;6;23;7
Invest631;1677;100;41;44
Invest668;1110;72;3;23
Invest422;424;30;65;73
Invest545;392;28;8;98
Invest754;1285;78;42;12
Invest418;1599;59;93;41
Invest504;533;27;76;36
Invest571;383;30;40;92
Invest694;10;4;19;40
Invest627;730;50;35;63
Invest780;1295;82;1;38
Invest182;94;17;53;32
Invest279;1847;83;74;82
Invest593;2276;88;70;28
Invest27;462;32;24;33
Invest53;2355;96;59;54
Invest470;526;29;18;18
Invest567;437;23;98;23
Invest444;693;43;25;67
Invest605;1334;59;60;18
Invest321;97;18;7;69
Invest881;1354;57;61;55
Invest728;632;44;30;63
Invest156;867;36;68;95
Invest697;853;57;21;96
Invest60;684;43;55;19
Invest622;1282;62;59;77
Invest206;1150;64;37;48
Invest953;1570;95;10;95
Invest552;2725;91;84;86
Invest362;1373;68;58;66
